pid,h2,h3,strong,p,cpt,t.1,p.1,speaker.d,t.3,t.2,t.4,t.5,t.c
675,NA,NA,דיאמנט:,"מירקין: כן, מודה. הגיעה השעה שאין מפלט ממנה. ובכן, דיאמנט, גלה לה את התמונה, ואחר כך אתודה גם אני.","מירקין: כן, מודה. הגיעה השעה שאין מפלט ממנה. ובכן, דיאמנט, גלה לה את התמונה, ואחר כך אתודה גם אני.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: כן, מודה. הגיעה השעה שאין מפלט ממנה. ובכן, דיאמנט, גלה לה את התמונה, ואחר כך אתודה גם אני.</p></sp>",NA,diamenet,,NA,NA,NA,NA
676,NA,NA,מירקין:,דיאמנט: מה היא העקשנות הזו לדהור כמטורף במורד ההר ישר אל התהום? הרי קודם התחננת לפני שאל אגלה דבר וחצי דבר.,דיאמנט: מה היא העקשנות הזו לדהור כמטורף במורד ההר ישר אל התהום? הרי קודם התחננת לפני שאל אגלה דבר וחצי דבר.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: מה היא העקשנות הזו לדהור כמטורף במורד ההר ישר אל התהום? הרי קודם התחננת לפני שאל אגלה דבר וחצי דבר.</p></sp>",NA,mirkin,,NA,NA,NA,NA
677,NA,NA,דיאמנט:,מירקין: בכך אטול את נשקך.,מירקין: בכך אטול את נשקך.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: בכך אטול את נשקך.</p></sp>",NA,diamenet,,NA,NA,NA,NA
678,NA,NA,מירקין:,דיאמנט: הרי ידי ריקות ואין בידי כל נשק.,דיאמנט: הרי ידי ריקות ואין בידי כל נשק.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: הרי ידי ריקות ואין בידי כל נשק.</p></sp>",NA,mirkin,,NA,NA,NA,NA
679,NA,NA,דיאמנט:,"מירקין: גלה לה את התמונה. הקץ לעינויים, לסחיטת דמים,
לפחדי יומם ולילה, חייב אני לחזור ולהיות אדם. להלחם. מסוגל להבין זאת? הו,
דיאמנט, אתה חושש הפעם. הנך חושש, ובצדק, שאם תראה למירי את הצלום – נסתיים
הכל. כן, וזהו רצוני. אתה לא תשאנה לאשה, אף אם יוטלו חיי אל בית הכלא
וגויתך אל בור הקבר. בעולם זה חיבים גם הזמירים לגדל את צפרניהם, אחרת
יובסו תמיד. כך הורס ההגיון הפנימי את הגיון הדברים. מוזר. אולם זוהי
האמת.","מירקין: גלה לה את התמונה. הקץ לעינויים, לסחיטת דמים,
לפחדי יומם ולילה, חייב אני לחזור ולהיות אדם. להלחם. מסוגל להבין זאת? הו,
דיאמנט, אתה חושש הפעם. הנך חושש, ובצדק, שאם תראה למירי את הצלום – נסתיים
הכל. כן, וזהו רצוני. אתה לא תשאנה לאשה, אף אם יוטלו חיי אל בית הכלא
וגויתך אל בור הקבר. בעולם זה חיבים גם הזמירים לגדל את צפרניהם, אחרת
יובסו תמיד. כך הורס ההגיון הפנימי את הגיון הדברים. מוזר. אולם זוהי
האמת.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: גלה לה את התמונה. הקץ לעינויים, לסחיטת דמים,
לפחדי יומם ולילה, חייב אני לחזור ולהיות אדם. להלחם. מסוגל להבין זאת? הו,
דיאמנט, אתה חושש הפעם. הנך חושש, ובצדק, שאם תראה למירי את הצלום – נסתיים
הכל. כן, וזהו רצוני. אתה לא תשאנה לאשה, אף אם יוטלו חיי אל בית הכלא
וגויתך אל בור הקבר. בעולם זה חיבים גם הזמירים לגדל את צפרניהם, אחרת
יובסו תמיד. כך הורס ההגיון הפנימי את הגיון הדברים. מוזר. אולם זוהי
האמת.</p></sp>",NA,diamenet,,NA,NA,NA,NA
680,NA,NA,מירקין:,דיאמנט: אני לא אשאנה?,דיאמנט: אני לא אשאנה?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: אני לא אשאנה?</p></sp>",NA,mirkin,,NA,NA,NA,NA
681,NA,NA,דיאמנט:,מירקין: לא.,מירקין: לא.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: לא.</p></sp>",NA,diamenet,,NA,NA,NA,NA
682,NA,NA,מירקין:,"דימאנט: ובכן, ההסכם מופר במרמה ובשקר?!","דימאנט: ובכן, ההסכם מופר במרמה ובשקר?!","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דימאנט: ובכן, ההסכם מופר במרמה ובשקר?!</p></sp>",NA,mirkin,,NA,NA,NA,NA
683,NA,NA,דימאנט:,מירקין: אתה לא תשאנה.,מירקין: אתה לא תשאנה.,"<sp who=""#dimenet""><speaker>דימאנט</speaker><p>מירקין: אתה לא תשאנה.</p></sp>",NA,dimenet,,NA,NA,NA,NA
684,NA,NA,מירקין:,"דיאמנט: כך! נהגתם בי מנהג של דיאמנט. רימיתם אותי.
אני חתמתי שאתה חף מפשע – ועכשיו ההסכם מופר. יפה. ראוי אני לכך. עוד יספרו
כיצד נלכד שועל ערום ביד נערה תמימה. מירי רימתה את דיאמנט. נהדר! ומירקין
כמובן נתן לה עצה זו והעמיד פני מטורף כדי לכסות על המרמה. נהדר. הכתבת לה
נוסח העדות כדי להפטר ממני, ואני אדיוט, טפש, רב־זימה וחשק – חתמתי. אני
חתמתי. נהדר! טוב, אבל עדיין לא נגמר הכל. עוד תשיגך ידי, מירקין. שכחת כי
עדיין קימים שני עדים. הרץ ואדלר – והצלום. עתיד אתה להתחרט על כך. אלך
לקרוא לאדלר. אגב, אם רצונך להציץ לרחוב – בבקשה. הרץ עומד שם על המשמר.
שום מרמה לא תעזור לך, מירקין. אין לך מפלט מגורלך.","דיאמנט: כך! נהגתם בי מנהג של דיאמנט. רימיתם אותי.
אני חתמתי שאתה חף מפשע – ועכשיו ההסכם מופר. יפה. ראוי אני לכך. עוד יספרו
כיצד נלכד שועל ערום ביד נערה תמימה. מירי רימתה את דיאמנט. נהדר! ומירקין
כמובן נתן לה עצה זו והעמיד פני מטורף כדי לכסות על המרמה. נהדר. הכתבת לה
נוסח העדות כדי להפטר ממני, ואני אדיוט, טפש, רב־זימה וחשק – חתמתי. אני
חתמתי. נהדר! טוב, אבל עדיין לא נגמר הכל. עוד תשיגך ידי, מירקין. שכחת כי
עדיין קימים שני עדים. הרץ ואדלר – והצלום. עתיד אתה להתחרט על כך. אלך
לקרוא לאדלר. אגב, אם רצונך להציץ לרחוב – בבקשה. הרץ עומד שם על המשמר.
שום מרמה לא תעזור לך, מירקין. אין לך מפלט מגורלך.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: כך! נהגתם בי מנהג של דיאמנט. רימיתם אותי.
אני חתמתי שאתה חף מפשע – ועכשיו ההסכם מופר. יפה. ראוי אני לכך. עוד יספרו
כיצד נלכד שועל ערום ביד נערה תמימה. מירי רימתה את דיאמנט. נהדר! ומירקין
כמובן נתן לה עצה זו והעמיד פני מטורף כדי לכסות על המרמה. נהדר. הכתבת לה
נוסח העדות כדי להפטר ממני, ואני אדיוט, טפש, רב־זימה וחשק – חתמתי. אני
חתמתי. נהדר! טוב, אבל עדיין לא נגמר הכל. עוד תשיגך ידי, מירקין. שכחת כי
עדיין קימים שני עדים. הרץ ואדלר – והצלום. עתיד אתה להתחרט על כך. אלך
לקרוא לאדלר. אגב, אם רצונך להציץ לרחוב – בבקשה. הרץ עומד שם על המשמר.
שום מרמה לא תעזור לך, מירקין. אין לך מפלט מגורלך.</p></sp>",NA,mirkin,,NA,NA,NA,NA
685,NA,NA,דיאמנט:,"מירקין: אתה טועה. מירי, תני לו הנייר ובו חתימתו.","מירקין: אתה טועה. מירי, תני לו הנייר ובו חתימתו.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: אתה טועה. מירי, תני לו הנייר ובו חתימתו.</p></sp>",NA,diamenet,,NA,NA,NA,NA
686,NA,NA,מירקין:,מירי: אבא!,מירי: אבא!,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: אבא!</p></sp>",NA,mirkin,,NA,NA,NA,NA
687,NA,NA,מירי:,מירקין: תני לו העדות.,מירקין: תני לו העדות.,"<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: תני לו העדות.</p></sp>",NA,miri,,NA,NA,NA,NA
688,NA,NA,מירקין:,"מירי: לא אתן. כל חייך תלויים בפתק עלוב זה. כל חייך, אבא.","מירי: לא אתן. כל חייך תלויים בפתק עלוב זה. כל חייך, אבא.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: לא אתן. כל חייך תלויים בפתק עלוב זה. כל חייך, אבא.</p></sp>",NA,mirkin,,NA,NA,NA,NA
689,NA,NA,מירי:,"מירקין: ואל ערשו תלכי? את תנשאי לו. לדיאמנט? אני רוצה לשמוע גם תשובה, מירי. את תנשאי לו?!","מירקין: ואל ערשו תלכי? את תנשאי לו. לדיאמנט? אני רוצה לשמוע גם תשובה, מירי. את תנשאי לו?!","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: ואל ערשו תלכי? את תנשאי לו. לדיאמנט? אני רוצה לשמוע גם תשובה, מירי. את תנשאי לו?!</p></sp>",NA,miri,,NA,NA,NA,NA
690,NA,NA,מירקין:,מירי: גם אורלוגין יחדל מלכת יום אחד.,מירי: גם אורלוגין יחדל מלכת יום אחד.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: גם אורלוגין יחדל מלכת יום אחד.</p></sp>",NA,mirkin,,NA,NA,NA,NA
691,NA,NA,מירי:,"מירקין: החזירי לו, אמרתי","מירקין: החזירי לו, אמרתי","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: החזירי לו, אמרתי</p></sp>",NA,miri,,NA,NA,NA,NA
692,NA,NA,מירקין:,מירי: ואז ישוב הכל כשהיה? שוב הוא ייסרך יומם ולילה?!,מירי: ואז ישוב הכל כשהיה? שוב הוא ייסרך יומם ולילה?!,"<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: ואז ישוב הכל כשהיה? שוב הוא ייסרך יומם ולילה?!</p></sp>",NA,mirkin,,NA,NA,NA,NA
693,NA,NA,מירי:,"מירקין: איני יכול יותר. תני לי העדות. תני, אמרתי. מירי, תני לי את הפתק הארור הזה.","מירקין: איני יכול יותר. תני לי העדות. תני, אמרתי. מירי, תני לי את הפתק הארור הזה.","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: איני יכול יותר. תני לי העדות. תני, אמרתי. מירי, תני לי את הפתק הארור הזה.</p></sp>",NA,miri,,NA,NA,NA,NA
694,NA,NA,מירקין:,"מירי: זכור במי אתה נותן אמון, אבא. (נותנת את הפתק ביד מירקין)","מירי: זכור במי אתה נותן אמון, אבא. (נותנת את הפתק ביד מירקין)","<sp who=""#mirkin""><speaker>מירקין</speaker><p>מירי: זכור במי אתה נותן אמון, אבא. <stage> נותנת את הפתק ביד מירקין </stage></p></sp>",NA,mirkin,,NA,NA,NA,NA
695,NA,NA,מירי:,"מירקין: החתימה אל השועל מוחזרת. (מוסר את הפתק
לדיאמנט) ומה עכשיו, דיאמנט? הנה, חיי עתידי וגורלי שנית הם בידך. ומה
עכשיו, דיאמנט?","מירקין: החתימה אל השועל מוחזרת. (מוסר את הפתק
לדיאמנט) ומה עכשיו, דיאמנט? הנה, חיי עתידי וגורלי שנית הם בידך. ומה
עכשיו, דיאמנט?","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: החתימה אל השועל מוחזרת. (מוסר את הפתק
לדיאמנט) ומה עכשיו, דיאמנט? הנה, חיי עתידי וגורלי שנית הם בידך. ומה
עכשיו, דיאמנט?</p></sp>",NA,miri,,NA,NA,NA,NA
696,NA,NA,מירקין:,"דיאמנט: עכשיו? שוב סובב גלגל המזלות. יש להזהר ולקח טוב הוא לעתיד. החזרת את נשקי. תודה, ושוב תודה. (קורע את הנייר)","דיאמנט: עכשיו? שוב סובב גלגל המזלות. יש להזהר ולקח טוב הוא לעתיד. החזרת את נשקי. תודה, ושוב תודה. (קורע את הנייר)","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: עכשיו? שוב סובב גלגל המזלות. יש להזהר ולקח טוב הוא לעתיד. החזרת את נשקי. תודה, ושוב תודה. <stage> קורע את הנייר </stage></p></sp>",NA,mirkin,,NA,NA,NA,NA
697,NA,NA,דיאמנט:,מירקין: גלה לה.,מירקין: גלה לה.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: גלה לה.</p></sp>",NA,diamenet,,NA,NA,NA,NA
698,NA,NA,מירקין:,"דיאמנט: כמובן. בחפץ לב. מירי, הביטי בצלום. שני אנשים כאן יש. רוצח ונרצח.","דיאמנט: כמובן. בחפץ לב. מירי, הביטי בצלום. שני אנשים כאן יש. רוצח ונרצח.","<sp who=""#mirkin""><speaker>מירקין</speaker><p>דיאמנט: כמובן. בחפץ לב. מירי, הביטי בצלום. שני אנשים כאן יש. רוצח ונרצח.</p></sp>",NA,mirkin,,NA,NA,NA,NA
699,NA,NA,דיאמנט:,מירי: זה אבא ניצב כאן.,מירי: זה אבא ניצב כאן.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירי: זה אבא ניצב כאן.</p></sp>",NA,diamenet,,NA,NA,NA,NA
700,NA,NA,מירי:,"מירקין: לא טעות. המוטל כאן מת, מירי, אביך הנהו. אמצי את זכרונך.","מירקין: לא טעות. המוטל כאן מת, מירי, אביך הנהו. אמצי את זכרונך.","<sp who=""#miri""><speaker>מירי</speaker><p>מירקין: לא טעות. המוטל כאן מת, מירי, אביך הנהו. אמצי את זכרונך.</p></sp>",NA,miri,,NA,NA,NA,NA
